journal,doi,title,abstract,comment,rating
Int J Mol Sci,10.3390/ijms22137077,Hyaluronan as a Prominent Biomolecule with Numerous Applications in Medicine,"Hyaluronan (HA) is a natural glycosaminoglycan present in many tissues of all vertebrates. HA has various biological functions, which are dependent on its molar mass. High-molar-mass HA has anti-angiogenic, immunosuppressive and anti-inflammatory properties, while low-molar-mass HA has opposite effects. HA has also antioxidative properties, however on the other hand it can be readily degraded by reactive oxygen species. For many years it has been used in treatment of osteoarthritis, cosmetics and in ophthalmology. In the last years there has been a growing interest of HA to also be applied in other fields of medicine such as skin wound healing, tissue engineering, dentistry and gene delivery. In this review we summarize information on modes of HA administration, properties and effects of HA in various fields of medicine including recent progress in the investigation of HA.",review,
Int J Mol Sci,10.3390/ijms18071419,Diabetes and Wound Angiogenesis,"Diabetes Mellitus Type II (DM2) is a growing international health concern with no end in sight. Complications of DM2 involve a myriad of comorbidities including the serious complications of poor wound healing, chronic ulceration, and resultant limb amputation. In skin wound healing, which has definite, orderly phases, diabetes leads to improper function at all stages. While the etiology of chronic, non-healing diabetic wounds is multi-faceted, the progression to a non-healing phenotype is closely linked to poor vascular networks. This review focuses on diabetic wound healing, paying special attention to the aberrations that have been described in the proliferative, remodeling, and maturation phases of wound angiogenesis. Additionally, this review considers therapeutics that may offer promise to better wound healing outcomes.",review,
Int J Mol Sci,10.3390/ijms21103675,"Effect of Combining Low Temperature Plasma, Negative Pressure Wound Therapy, and Bone Marrow Mesenchymal Stem Cells on an Acute Skin Wound Healing Mouse Model","Low-temperature plasma (LTP; 3 min/day), negative pressure wound therapy (NPWT; 4 h/day), and bone marrow mesenchymal stem cells (MSCs; 1×106 cells/day) were used as mono- and combination therapy in an acute excisional skin wound-healing ICR mouse model. These therapies have been beneficial in treating wounds. We investigated the effectiveness of monotherapy with LTP, NPWT, and MSC and combination therapy with LTP + MSC, LTP + NPWT, NPWT + MSC, and LTP + NPWT + MSC on skin wounds in mice for seven consecutive days. Gene expression, protein expression, and epithelial thickness were analyzed using real time polymerase chain reaction (RT-qPCR), western blotting, and hematoxylin and eosin staining (H&E), respectively. Wound closure was also evaluated. Wound closure was significantly accelerated in monotherapy groups, whereas more accelerated in combination therapy groups. Tumor necrosis factor-α (TNF-α) expression was increased in the LTP monotherapy group but decreased in the NPWT, MSC, and combination therapy groups. Expressions of vascular endothelial growth factor (VEGF), α-smooth muscle actin (α-SMA), and type I collagen were increased in the combination therapy groups. Re-epithelialization was also considerably accelerated in combination therapy groups. Our findings suggest that combination therapy with LPT, NPWT, and MSC exert a synergistic effect on wound healing, representing a promising strategy for the treatment of acute wounds.","experimental, number of mice in experiment not stated",suspicious that they would get statistical significance
Int J Mol Sci,10.3390/ijms23137363,ICOSL Stimulation by ICOS-Fc Accelerates Cutaneous Wound Healing In Vivo,"BACKGROUND: ICOS and its ligand ICOSL are immune receptors whose interaction triggers bidirectional signals that modulate the immune response and tissue repair. AIM: The aim of this study was to assess the in vivo effects of ICOSL triggering by ICOS-Fc, a recombinant soluble form of ICOS, on skin wound healing. METHODS: The effect of human ICOS-Fc on wound healing was assessed, in vitro, and, in vivo, by skin wound healing assay using ICOS-/- and ICOSL-/- knockout (KO) mice and NOD-SCID-IL2R null (NSG) mice. RESULTS: We show that, in wild type mice, treatment with ICOS-Fc improves wound healing, promotes angiogenesis, preceded by upregulation of IL-6 and VEGF expression; increases the number of fibroblasts and T cells, whereas it reduces that of neutrophils; and increases the number of M2 vs. M1 macrophages. Fittingly, ICOS-Fc enhanced M2 macrophage migration, while it hampered that of M1 macrophages. ICOS-/- and ICOSL-/- KO, and NSG mice showed delayed wound healing, and treatment with ICOS-Fc improved wound closure in ICOS-/- and NSG mice. CONCLUSION: These data show that the ICOS/ICOSL network cooperates in tissue repair, and that triggering of ICOSL by ICOS-Fc improves cutaneous wound healing by increasing angiogenesis and recruitment of reparative macrophages.","experimental, number of mice in experiment not stated","suspicicous, worth to check actual paper"
Int J Mol Sci,10.3390/ijms241914726,Effects of an Adipose Mesenchymal Stem Cell-Derived Conditioned medium and TGF-β1 on Human Keratinocytes In Vitro,"Human keratinocytes play a crucial role during skin wound healing and in skin replacement therapies. The secretome of adipose-derived stem cells (ASCs) has been shown to secrete pro-healing factors, among which include TGF-β1, which is essential for keratinocyte migration and the re-epithelialization of cutaneous wounds during skin wound healing. The benefits of an ASC conditioned medium (ASC-CM) are primarily orchestrated by trophic factors that mediate autocrine and paracrine effects in keratinocytes. Here, we evaluated the composition and the innate characteristics of the ASC secretome and its biological effects on keratinocyte maturation and wound healing in vitro. In particular, we detected high levels of different growth factors, such as HGF, FGFb, and VEGF, and other factors, such as TIMP1 and 4, IL8, PAI-1, uPA, and IGFBP-3, in the ASC-CM. Further, we investigated, using immunofluorescence and flow cytometry, the distinct effects of a human ASC-CM and/or synthetic TGF-β1 on human keratinocyte proliferation, migration, and cell apoptosis suppression. We demonstrated that the ASC-CM increased keratinocyte proliferation as compared to TGF-β1 treatment. Further, we found that the ASC-CM exerted cell cycle progression in keratinocytes via regulating the phases G1, S, and G2/M. In particular, cells subjected to the ASC-CM demonstrated increased DNA synthesis (S phase) compared to the TGF-β1-treated KCs, which showed a pronounced G0/G1 phase. Furthermore, both the ASC-CM and TGF-β1 conditions resulted in a decreased expression of the late differentiation marker CK10 in human keratinocytes in vitro, whereas both treatments enhanced transglutaminase 3 and loricrin expression. Interestingly, the ASC-CM promoted significantly increased numbers of keratinocytes expressing epidermal basal keratinocyte markers, such DLL1 and Jagged2 Notch ligands, whereas those ligands were significantly decreased in TGF-β1-treated keratinocytes. In conclusion, our findings suggest that the ASC-CM is a potent stimulator of human keratinocyte proliferation in vitro, particularly supporting basal keratinocytes, which are crucial for a successful skin coverage after transplantation. In contrast, TGF-β1 treatment decreased keratinocyte proliferation and specifically increased the expression of differentiation markers in vitro.",experimental,
Int J Mol Sci,10.3390/ijms22041933,Dermal Drivers of Injury-Induced Inflammation: Contribution of Adipocytes and Fibroblasts,"Irregular inflammatory responses are a major contributor to tissue dysfunction and inefficient repair. Skin has proven to be a powerful model to study mechanisms that regulate inflammation. In particular, skin wound healing is dependent on a rapid, robust immune response and subsequent dampening of inflammatory signaling. While injury-induced inflammation has historically been attributed to keratinocytes and immune cells, a vast body of evidence supports the ability of non-immune cells to coordinate inflammation in numerous tissues and diseases. In this review, we concentrate on the active participation of tissue-resident adipocytes and fibroblasts in pro-inflammatory signaling after injury, and how altered cellular communication from these cells can contribute to irregular inflammation associated with aberrant wound healing. Furthering our understanding of how tissue-resident mesenchymal cells contribute to inflammation will likely reveal new targets that can be manipulated to regulate inflammation and repair.",,
Int J Mol Sci,10.3390/ijms19071956,"Foxn1 in Skin Development, Homeostasis and Wound Healing","Intensive research effort has focused on cellular and molecular mechanisms that regulate skin biology, including the phenomenon of scar-free skin healing during foetal life. Transcription factors are the key molecules that tune gene expression and either promote or suppress gene transcription. The epidermis is the source of transcription factors that regulate many functions of epidermal cells such as proliferation, differentiation, apoptosis, and migration. Furthermore, the activation of epidermal transcription factors also causes changes in the dermal compartment of the skin. This review focuses on the transcription factor Foxn1 and its role in skin biology. The regulatory function of Foxn1 in the skin relates to physiological (development and homeostasis) and pathological (skin wound healing) conditions. In particular, the pivotal role of Foxn1 in skin development and the acquisition of the adult skin phenotype, which coincides with losing the ability of scar-free healing, is discussed. Thus, genetic manipulations with Foxn1 expression, specifically those introducing conditional Foxn1 silencing in a Foxn1+/+ organism or its knock-in in a Foxn1−/− model, may provide future perspectives for regenerative medicine.",AM HERE,
Int J Mol Sci,10.3390/ijms21144952,"From Inflammation to Cutaneous Repair: Topical Application of Lupeol Improves Skin Wound Healing in Rats by Modulating the Cytokine Levels, NF-κB, Ki-67, Growth Factor Expression, and Distribution of Collagen Fibers","Skin wound healing is a highly complex event that involves different mediators at the cellular and molecular level. Lupeol has been reported to possess different biological activities, such as anti-inflammatory, antioxidant, antidiabetic, and in vitro wound healing properties, which motivated us to proceed with in vivo studies. We aimed to investigate the wound healing effect of lupeol-based cream for 3, 7, and 14 days. Wound excisions were induced on the thoraco-lumbar region of rats and topically treated immediately after injury induction. Macroscopic, histopathological, and immunohistochemical analyses were performed. Cytokine levels were measured by ELISA and gene expression was evaluated by real-time RT-qPCR. Our results showed a strong wound-healing effect of lupeol-based cream after 7 and 14 days. Lupeol treatment caused a reduction in proinflammatory cytokines (TNF-a, IL-1β, and IL-6) and gene and protein NF-κB expression, and positively altered IL-10 levels, showing anti-inflammatory effects in the three treatment periods. Lupeol treatment showed involvement in the proliferative phase by stimulating the formation of new blood vessels, increasing the immunostaining of Ki-67 and gene expression, and immunolabeling of vascular endothelial growth factor (VEGF) and epidermal growth factor (EGF), and increasing gene expression of transforming growth factor beta-1 (TGF-β1) after seven days of treatment. Lupeol was also involved in the tissue regeneration phase by increasing the synthesis of collagen fibers noted in the three treatment periods analyzed. Our findings suggest that lupeol may serve as a novel therapeutic option to treat cutaneous wounds by regulating mechanisms involved in the inflammatory, proliferative, and tissue-remodeling phases.",,
Int J Mol Sci,10.3390/ijms22157804,Skin Wound Healing Rate in Fish Depends on Species and Microbiota,"The skin is a barrier between the body and the environment that protects the integrity of the body and houses a vast microbiota. By interacting with the host immune system, the microbiota improves wound healing in mammals. However, in fish, the evidence of the role of microbiota and the type of species on wound healing is scarce. We aimed to examine the wound healing rate in various fish species and evaluate the effect of antibiotics on the wound healing process. The wound healing rate was much faster in two of the seven fish species selected based on habitat and skin types. We also demonstrated that the composition of the microbiome plays a role in the wound healing rate. After antibiotic treatment, the wound healing rate improved in one species. Through 16S rRNA sequencing, we identified microbiome correlates of varying responses on wound healing after antibiotic treatment. These findings indicate that not only the species difference but also the microbiota play a significant role in wound healing in fish.",,
Int J Mol Sci,10.3390/ijms18081675,Acceleration Mechanisms of Skin Wound Healing by Autologous Micrograft in Mice,"A micrograft technique, which minces tissue into micro-fragments >50 μm, has been recently developed. However, its pathophysiological mechanisms in wound healing are unclear yet. We thus performed a wound healing study using normal mice. A humanized mouse model of a skin wound with a splint was used. After total skin excision, tissue micro-fragments obtained by the Rigenera protocol were infused onto the wounds. In the cell tracing study, GFP-expressing green mice and SCID mice were used. Collagen stains including Picrosirius red (PSR) and immunohistological stains for α-smooth muscle actin (αSMA), CD31, transforming growth factor-β1 (TGF-β1) and neutrophils were evaluated for granulation tissue development. GFP-positive cells remained in granulation tissue seven days after infusion, but vanished after 13 days. Following the infusion of the tissue micrograft solution onto the wound, TGF-β1 expression was transiently upregulated in granulation tissue in the early phase. Subsequently, αSMA-expressing myofibroblasts increased in number in thickened granulation tissue with acceleration of neovascularization and collagen matrix maturation. On such granulation tissue, regenerative epithelial healing progressed, resulting in wound area reduction. Alternative alteration after the micrograft may have increased αSMA-expressing myofibroblasts in granulation tissue, which may act on collagen accumulation, neovascularization and wound contraction. All of these changes are favorable for epithelial regeneration on wound.",,
Int J Mol Sci,10.3390/ijms231911654,"Novel Amoxicillin-Loaded Sericin Biopolymeric Nanoparticles: Synthesis, Optimization, Antibacterial and Wound Healing Activities","Infected wounds are a major threat among diabetic patients. Technological advancements are currently increasing the number of new adjunctive therapies that may be potent agents for speeding recovery, lowering the amputation rate and limiting infection recurrences. A novel formula with promising antibacterial activity, namely sericin/propolis/Amoxicillin nanoparticles, was assessed as a potent treatment of infected wounds in normal and diabetic rats. Skin wound healing efficiency was assessed through wound healing scorings, bacterial load assessment and histological examinations. It was revealed that upon using sericin/propolis/Amoxicillin nanoparticles, complete wound healing was successfully achieved after 10 and 15 days postinjury for nondiabetic and diabetic rats, respectively. However, the bacterial load in the induced infected wounds was extremely low (0-10 CFU/mL) after 15 days post-treatment. The histological studies revealed that the dermis was more organized with new matrix deposition, and mature collagen fibers were observed among the treated animal groups. The present study is the first preclinical study which reported the importance of silk sericin in the form of nano-sericin/propolis loaded with Amoxicillin as an effective treatment against bacterial wound infections.",,
Int J Mol Sci,10.3390/ijms24108688,Mesenchymal Stem Cells Pretreated with Collagen Promote Skin Wound-Healing,"The existing treatment modalities for skin injuries mainly include dressings, negative-pressure wound treatment, autologous skin grafting, and high-pressure wound treatment. All of these therapies have limitations such as high time cost, the inability to remove inactivated tissue in a timely manner, surgical debridement, and oxygen toxicity. Mesenchymal stem cells have a unique self-renewal ability and wide differentiation potential, and they are one of the most promising stem cell types in cell therapy and have great application prospects in the field of regenerative medicine. Collagen exerts structural roles by promoting the molecular structure, shape, and mechanical properties of cells, and adding it to cell cultures can also promote cell proliferation and shorten the cell doubling time. The effects of collagen on MSCs were examined using Giemsa staining, EdU staining, and growth curves. Mice were subjected to allogeneic experiments and autologous experiments to reduce individual differences; all animals were separated into four groups. Neonatal skin sections were detected by HE staining, Masson staining, immunohistochemical staining, and immunofluorescence staining. We found that the MSCs pretreated with collagen accelerated the healing of skin wounds in mice and canines by promoting epidermal layer repair, collagen deposition, hair follicle angiogenesis, and an inflammatory response. Collagen promotes the secretion of the chemokines and growth factors associated with skin healing by MSCs, which positively influences skin healing. This study supports the treatment of skin injuries with MSCs cultured in medium with collagen added.",,
Int J Mol Sci,10.3390/ijms22031499,Silk Fibroin as a Functional Biomaterial for Tissue Engineering,"Tissue engineering (TE) is the approach to combine cells with scaffold materials and appropriate growth factors to regenerate or replace damaged or degenerated tissue or organs. The scaffold material as a template for tissue formation plays the most important role in TE. Among scaffold materials, silk fibroin (SF), a natural protein with outstanding mechanical properties, biodegradability, biocompatibility, and bioresorbability has attracted significant attention for TE applications. SF is commonly dissolved into an aqueous solution and can be easily reconstructed into different material formats, including films, mats, hydrogels, and sponges via various fabrication techniques. These include spin coating, electrospinning, freeze drying, physical, and chemical crosslinking techniques. Furthermore, to facilitate fabrication of more complex SF-based scaffolds with high precision techniques including micro-patterning and bio-printing have recently been explored. This review introduces the physicochemical and mechanical properties of SF and looks into a range of SF-based scaffolds that have been recently developed. The typical TE applications of SF-based scaffolds including bone, cartilage, ligament, tendon, skin, wound healing, and tympanic membrane, will be highlighted and discussed, followed by future prospects and challenges needing to be addressed.",,
Int J Mol Sci,10.3390/ijms24087377,Characterization and In Vivo Assay of Allantoin-Enriched Pectin Hydrogel for the Treatment of Skin Wounds,"This work describes a liquid allantoin-enriched pectin hydrogel with hydrophilic behavior that is supported by the presence of functional groups related to healing efficacy. A topical study shows the effect of the hydrogel application on surgically induced skin wound healing in a rat model. Contact angle measurements confirm hydrophilic behavior (11.37°), while Fourier-transform infrared spectroscopy indicates the presence of functional groups related to the healing effectiveness (carboxylic acid and amine groups). Allantoin is distributed on the surface and inside the amorphous pectin hydrogel surrounded by a heterogeneous distribution of pores. This promotes wound drying with better interaction between the hydrogel and cells involved in the wound healing process. An experimental study with female Wistar rats indicates that the hydrogel improves wound contraction, reducing around 71.43% of the total healing time and reaching total wound closure in 15 days.",,
Int J Mol Sci,10.3390/ijms241814274,"Matricellular Proteins in the Homeostasis, Regeneration, and Aging of Skin","Matricellular proteins are secreted extracellular proteins that bear no primary structural functions but play crucial roles in tissue remodeling during development, homeostasis, and aging. Despite their low expression after birth, matricellular proteins within skin compartments support the structural function of many extracellular matrix proteins, such as collagens. In this review, we summarize the function of matricellular proteins in skin stem cell niches that influence stem cells' fate and self-renewal ability. In the epidermal stem cell niche, fibulin 7 promotes epidermal stem cells' heterogeneity and fitness into old age, and the transforming growth factor-β-induced protein ig-h3 (TGFBI)-enhances epidermal stem cell growth and wound healing. In the hair follicle stem cell niche, matricellular proteins such as periostin, tenascin C, SPARC, fibulin 1, CCN2, and R-Spondin 2 and 3 modulate stem cell activity during the hair cycle and may stabilize arrector pili muscle attachment to the hair follicle during piloerections (goosebumps). In skin wound healing, matricellular proteins are upregulated, and their functions have been examined in various gain-and-loss-of-function studies. However, much remains unknown concerning whether these proteins modulate skin stem cell behavior, plasticity, or cell-cell communications during wound healing and aging, leaving a new avenue for future studies.",,
Int J Mol Sci,10.3390/ijms24010205,"The Potential Importance of CXCL1 in the Physiological State and in Noncancer Diseases of the Cardiovascular System, Respiratory System and Skin","In this paper, we present a literature review of the role of CXC motif chemokine ligand 1 (CXCL1) in physiology, and in selected major non-cancer diseases of the cardiovascular system, respiratory system and skin. CXCL1, a cytokine belonging to the CXC sub-family of chemokines with CXC motif chemokine receptor 2 (CXCR2) as its main receptor, causes the migration and infiltration of neutrophils to the sites of high expression. This implicates CXCL1 in many adverse conditions associated with inflammation and the accumulation of neutrophils. The aim of this study was to describe the significance of CXCL1 in selected diseases of the cardiovascular system (atherosclerosis, atrial fibrillation, chronic ischemic heart disease, hypertension, sepsis including sepsis-associated encephalopathy and sepsis-associated acute kidney injury), the respiratory system (asthma, chronic obstructive pulmonary disease (COPD), chronic rhinosinusitis, coronavirus disease 2019 (COVID-19), influenza, lung transplantation and ischemic-reperfusion injury and tuberculosis) and the skin (wound healing, psoriasis, sunburn and xeroderma pigmentosum). Additionally, the significance of CXCL1 is described in vascular physiology, such as the effects of CXCL1 on angiogenesis and arteriogenesis.",,
Int J Mol Sci,10.3390/ijms232113414,MED1 Ablation Promotes Oral Mucosal Wound Healing via JNK Signaling Pathway,"Mediator complex subunit 1 (MED1) is a coactivator of multiple transcription factors and plays a key role in regulating epidermal homeostasis as well as skin wound healing. It is unknown, however, whether it plays a role in healing oral mucosal wounds. In this study, we investigate MED1's functional effects on oral mucosal wound healing and its underlying mechanism. The epithelial-specific MED1 null (Med1epi-/-) mice were established using the Cre-loxP system with C57/BL6 background. A 3 mm diameter wound was made in the cheek mucosa of the 8-week-old mice. In vivo experiments were conducted using HE staining and immunostaining with Ki67 and uPAR antibodies. The in vitro study used lentiviral transduction, scratch assays, qRT-PCR, and Western blotting to reveal the underlying mechanisms. The results showed that ablation of MED1 accelerated oral mucosal wound healing in 8-week-old mice. As a result of ablation of MED1, Activin A/Follistatin expression was altered, resulting in an activation of the JNK/c-Jun pathway. Similarly, knockdown of MED1 enhanced the proliferation and migration of keratinocytes in vitro, promoting re-epithelialization, which accelerates the healing of oral mucosal wounds. Our study reveals a novel role for MED1 in oral keratinocytes, providing a new molecular therapeutic target for accelerated wound healing.",,
Int J Mol Sci,10.3390/ijms21020521,Site-Specific Expression Pattern of PIWI-Interacting RNA in Skin and Oral Mucosal Wound Healing,"The oral mucosa exhibits exceptional healing capability when compared to skin. Recent studies suggest that intrinsic differences in coding genes and regulatory small non-coding RNA (sncRNA) genes (e.g., microRNAs) may underlie the exceptional healing that occurs in the oral mucosa. Here, we investigate the role of a novel class of sncRNA-Piwi-interacting RNA (piRNA)-in the tissue-specific differential response to injury. An abundance of piRNAs was detected in both skin and oral mucosal epithelium during wound healing. The expression of PIWI genes (the obligate binding partners of piRNAs) was also detected in skin and oral wound healing. This data suggested that PIWI-piRNA machinery may serve an unknown function in the highly orchestrated wound healing process. Furthermore, unique tissue-specific piRNA profiles were obtained in the skin and oral mucosal epithelium, and substantially more changes in piRNA expression were observed during skin wound healing than oral mucosal wound healing. Thus, we present the first clue suggesting a role of piRNA in wound healing, and provide the first site-specific piRNA profile of skin and oral mucosal wound healing. These results serve as a foundation for the future investigation of the functional contribution(s) of piRNA in wound repair and tissue regeneration.",,
Int J Mol Sci,10.3390/ijms242417214,Therapeutic Potential of Adipose-Derived Stem Cell-Conditioned Medium and Extracellular Vesicles in an In Vitro Radiation-Induced Skin Injury Model,"Radiotherapy (RT) is one of three major treatments for malignant tumors, and one of its most common side effects is skin and soft tissue injury. However, the treatment of these remains challenging. Several studies have shown that mesenchymal stem cell (MSC) treatment enhances skin wound healing. In this study, we extracted human dermal fibroblasts (HDFs) and adipose-derived stem cells (ADSCs) from patients and generated an in vitro radiation-induced skin injury model with HDFs to verify the effect of conditioned medium derived from adipose-derived stem cells (ADSC-CM) and extracellular vesicles derived from adipose-derived stem cells (ADSC-EVs) on the healing of radiation-induced skin injury. The results showed that collagen synthesis was significantly increased in wounds treated with ADSC-CM or ADSC-EVs compared with the control group, which promoted the expression of collagen-related genes and suppressed the expression of inflammation-related genes. These findings indicated that treatment with ADSC-CM or ADSC-EVs suppressed inflammation and promoted extracellular matrix deposition; treatment with ADSC-EVs also promoted fibroblast proliferation. In conclusion, these results demonstrate the effectiveness of ADSC-CM and ADSC-EVs in the healing of radiation-induced skin injury.",,
Int J Mol Sci,10.3390/ijms24043213,Lamprey Wound Healing and Regenerative Effects: The Collaborative Efforts of Diverse Drivers,"Skin is a natural barrier between the body and the external environment, and this important multifunctional organ plays roles in body temperature regulation, sensory stimulation, mucus secretion, metabolite excretion and immune defense. Lampreys, as ancient vertebrates, rarely experience infection of damaged skin during farming and efficiently promote skin wound healing. However, the mechanism underlying these wound healing and regenerative effects is unclear. Our histology and transcriptomics results demonstrate that lampreys regenerate a nearly complete skin structure in damaged epidermis, including the secretory glands, and will almost not be infected, even if experiencing full-thickness damage. In addition, ATGL, DGL and MGL participate in the lipolysis process to provide space for infiltrating cells. A large number of red blood cells migrate to the site of injury and exert proinflammatory effects, upregulating the expression of proinflammatory factors such as IL-8 and IL-17. Based on a lamprey skin damage healing model, adipocytes and red blood cells in the subcutaneous fat layer can promote wound healing, which provides a new approach for the study of skin healing mechanisms. Transcriptome data reveal that mechanical signal transduction pathways are mainly regulated by focal adhesion kinase and that the actin cytoskeleton plays an important role in the healing of lamprey skin injuries. We identified RAC1 as a key regulatory gene that is necessary and partially sufficient for wound regeneration. Insights into the mechanisms of lamprey skin injury and healing will provide a theoretical basis for overcoming the challenges associated with chronic healing and scar healing in the clinic.",,
Int J Mol Sci,10.3390/ijms24021326,siRNA-Mediated MELK Knockdown Induces Accelerated Wound Healing with Increased Collagen Deposition,"Skin wounds remain a significant problem for the healthcare system, affecting the clinical outcome, patients' quality of life, and financial costs. Reduced wound healing times would improve clinical, economic, and social aspects for both patients and the healthcare system. Skin wound healing has been studied for years, but effective therapy that leads to accelerated wound healing remains to be discovered. This study aimed to evaluate the potential of MELK silencing to accelerate wound healing. A vectorless, transient knockdown of the MELK gene using siRNA was performed in a murine skin wound model. The wound size, total collagen, type 3 collagen, vessel size, vessel number, cell proliferation, cell apoptosis, number of mast cells, and immune infiltration by CD45, CD11b, CD45, and CD8a cells were evaluated. We observed that treatment with MELK siRNA leads to significantly faster wound closing associated with increased collagen deposition.",,
Int J Mol Sci,10.3390/ijms17121984,DNA Damage-Inducible Transcript 4 Is an Innate Surveillant of Hair Follicular Stress in Vitamin D Receptor Knockout Mice and a Regulator of Wound Re-Epithelialization,"Mice and human patients with impaired vitamin D receptor (VDR) signaling have normal developmental hair growth but display aberrant post-morphogenic hair cycle progression associated with alopecia. In addition, VDR-/- mice exhibit impaired cutaneous wound healing. We undertook experiments to determine whether the stress-inducible regulator of energy homeostasis, DNA damage-inducible transcript 4 (Ddit4), is involved in these processes. By analyzing hair cycle activation in vivo, we show that VDR-/- mice at day 14 exhibit increased Ddit4 expression within follicular stress compartments. At day 29, degenerating VDR-/- follicular keratinocytes, but not bulge stem cells, continue to exhibit an increase in Ddit4 expression. At day 47, when normal follicles and epidermis are quiescent and enriched for Ddit4, VDR-/- skin lacks Ddit4 expression. In a skin wound healing assay, the re-epithelialized epidermis in wildtype (WT) but not VDR-/- animals harbor a population of Ddit4- and Krt10-positive cells. Our study suggests that VDR regulates Ddit4 expression during epidermal homeostasis and the wound healing process, while elevated Ddit4 represents an early growth-arresting stress response within VDR-/- follicles.",,
